aor|total_pop|total_pop_se|total_pop_low|total_pop_upp|forborn_pop|forborn_pop_se|forborn_pop_low|forborn_pop_upp|noncitizen_pop|noncitizen_pop_se|noncitizen_pop_low|noncitizen_pop_upp|undocu_pop|undocu_pop_se|undocu_pop_low|undocu_pop_upp|year
SLC|6218624|2643.776938397035|6213361.693637166|6223886.306362834|869286|10991.327738267111|847408.309392658|891163.690607342|483401|10209.873774929834|463078.75459826784|503723.24540173216|246015|6938.759204641707|232203.74528238468|259826.25471761532|2014
SNA|5550139|4393.214472342547|5541394.52532994|5558883.47467006|1074121|14340.178790726426|1045577.5881112608|1102664.411888739|706439|11767.388850123038|683016.598389413|729861.401610587|328649|7920.875115793709|312882.8924605618|344415.1075394382|2014
SND|2661047|2700.035073846264|2655672.714619634|2666421.285380366|780431|10009.842688574085|760506.9065161572|800355.0934838428|389898|9199.073798486454|371587.7016238802|408208.2983761198|128920|5559.540722937462|117854.01099924617|139985.98900075382|2014
SPM|9192475|4427.67253757547|9183661.938266752|9201288.061733248|683261|11893.617893643632|659587.3457632002|706934.6542367998|366625|8995.106502982608|348720.68837009586|384529.31162990414|139998|6316.340344693278|127425.63903302024|152570.3609669798|2014
WAS|7003828|2056.2306412462585|6999735.17528785|7007920.82471215|1015885|10867.111870225686|994254.554893315|1037515.445106685|516707|10156.195596777368|496491.5983392562|536922.4016607439|202368|8402.939467829101|185642.36736970852|219093.63263029148|2014
ATL|19276915|3491.8577147415385|19269964.6310776|19283865.3689224|1913414|16189.498540720771|1881189.609226102|1945638.390773898|1129717|13872.693285732226|1102104.0947329565|1157329.9052670435|620249|11306.747144957297|597743.4827683008|642754.5172316992|2015
BAL|4660389|1047.9977814862016|4658303.01259552|4662474.98740448|849071|10472.150323596392|828226.706186836|869915.293813164|412099|8345.058585773979|395488.57638356346|428709.42361643654|157168|5604.0652878067|146013.3870697418|168322.6129302582|2015
BOS|11735297|2700.748201887766|11729921.295173774|11740672.704826226|1799504|16454.59763409607|1766751.9426799612|1832256.0573200388|851043|14266.560361558772|822646.1219290745|879439.8780709255|195658|6782.798390045218|182157.17751858593|209158.82248141407|2015
BUF|4811393|3098.0100306487066|4805226.5652832|4817559.4347168|331007|6868.694770478595|317335.2050500943|344678.7949499057|144765|4170.3248314729635|136464.17606246672|153065.82393753328|21538|1792.7953313192222|17969.530155876062|25106.469844123934|2015
CHI|29734461|7013.684969400892|29720500.60927817|29748421.39072183|2851927|22728.79173317403|2806686.471716427|2897167.528283573|1528629|20540.88426772324|1487743.3925909975|1569514.6074090025|644120|12756.487277068089|618728.8472175619|669511.1527824381|2015
DAL|10826070|3744.941214491891|10818615.880972316|10833524.119027684|1659844|13580.315250390911|1632813.058654868|1686874.941345132|1059235|13990.627614585415|1031387.3523232972|1087082.647676703|573804|10272.449396322185|553357.2009395121|594250.7990604879|2015
DEN|4645730|2385.2501545959494|4640982.278328333|4650477.721671667|512890|9685.01367061503|493612.46250324266|532167.5374967573|311671|8450.564191224157|294850.5727290147|328491.4272709853|146603|4742.866622623917|137162.56013390477|156043.43986609523|2015
DET|16707447|4944.854927093413|16697604.51247081|16717289.48752919|1067105|15034.02476384817|1037180.5222481936|1097029.4777518066|501912|11210.466769943168|479598.1240609888|524225.8759390112|125968|5702.141654676776|114618.17094468664|137317.82905531337|2015
ELP|2582949|2873.4394721309163|2577229.5617986135|2588668.4382013865|454522|9053.484735172418|436501.4894055608|472542.5105944392|273098|8488.3186320967|256202.4243942428|289993.5756057572|121475|5975.505643876509|109581.05353491468|133368.94646508532|2015
HOU|6727567|3025.3319652560444|6721545.2273537405|6733588.7726462595|1635836|17192.280203626276|1601615.6222543567|1670056.3777456433|1016492|14445.251517367222|987739.4460804294|1045244.5539195706|495573|9098.405843882763|477463.0761752845|513682.9238247155|2015
LOS|14875945|4397.659593465597|14867191.677537668|14884698.322462332|5594403|21440.976633539805|5551725.803552232|5637080.196447768|2746953|20138.395011767945|2706868.52741513|2787037.47258487|969078|14788.759628515165|939641.7102883792|998514.2897116208|2015
MIA|16169195|2156.0809933766404|16164903.42813346|16173486.57186654|3873226|23582.422966056733|3826286.3612494767|3920165.6387505233|1712918|22899.317286766433|1667338.0490924292|1758497.9509075708|569731|12635.05375136964|544581.5546043173|594880.4453956827|2015
NEW|6960879|1564.2876653608184|6957765.363287622|6963992.636712378|1866517|15272.29809164292|1836118.251052792|1896915.748947208|792400|11971.76661984354|768570.7946147064|816229.2053852936|303784|9117.027892904574|285637.0099138941|321930.9900861059|2015
NOL|16949573|5165.01259921019|16939292.29958606|16959853.70041394|811972|10293.832104712026|791482.6397231023|832461.3602768977|504203|10495.368566658344|483312.4914300522|525093.5085699478|262721|8151.393721321527|246496.05665372705|278945.943346273|2015
NYC|10781114|2793.699554354405|10775553.280134715|10786674.719865285|3961551|25899.20925337297|3909999.9134968296|4013102.0865031704|1715531|20140.60081775119|1675442.136868146|1755619.863131854|541161|11747.662452590304|517777.86280152906|564544.137198471|2015
